,sona,zyra,yuumi
jinx,49.7,50.6,49.1
caitlyn,51.7,52.5,49.4
jhin,51.3,50.9,50.7
ezreal,55.5,53.0,54.6
missfortune,49.2,51.0,48.2
kaisa,54.4,53.1,49.9
ashe,51.4,53.4,50.0
tristana,51.5,51.5,47.3
lucian,53.1,52.8,48.5
vayne,52.4,51.3,47.5
varus,52.6,54.5,50.0
samira,49.6,52.5,50.1
smolder,51.6,50.9,53.7
xayah,51.3,53.4,49.4
twitch,51.1,48.7,49.7
aphelios,51.5,52.1,50.1
sivir,51.9,50.5,51.4
draven,53.2,53.3,50.1
zeri,51.7,49.2,52.5
nilah,48.4,47.6,45.9
corki,52.9,54.7,50.2
mel,53.6,51.2,51.2
kogmaw,50.4,50.0,47.4
kalista,54.3,54.7,50.6
ziggs,51.5,49.7,48.5
yasuo,47.7,45.8,43.5
swain,46.7,49.6,51.0
veigar,49.3,50.0,46.8
lux,48.8,52.1,49.1
seraphine,49.7,49.7,47.6
