,sona,zyra,yuumi
leesin,54.1,54.2,51.3
viego,51.0,51.9,50.2
kayn,52.7,52.5,50.3
nocturne,50.0,48.9,49.1
masteryi,50.1,50.8,48.6
warwick,49.8,48.8,46.0
darius,48.8,49.8,45.7
vi,51.8,52.9,47.6
naafiri,49.8,48.9,47.8
shaco,55.1,53.2,52.1
diana,50.8,50.3,50.7
amumu,48.3,49.5,47.0
khazix,53.8,53.6,55.2
graves,52.3,52.4,51.5
lillia,51.4,51.1,52.2
jarvaniv,49.3,50.9,49.3
xinzhao,50.9,50.7,49.0
volibear,49.3,51.3,46.8
briar,49.1,49.7,47.7
wukong,50.9,51.8,49.1
ekko,52.7,52.7,50.7
hecarim,52.0,52.9,51.2
kindred,53.0,54.8,49.9
zed,54.4,53.7,53.8
nunu&willump,50.8,51.5,48.4
pantheon,52.9,53.4,50.4
sejuani,51.0,52.1,50.0
fiddlesticks,51.1,51.0,48.2
zac,53.5,53.0,50.6
gwen,52.4,51.5,50.5
evelynn,53.8,52.7,51.2
talon,52.3,53.9,51.4
nidalee,58.3,57.5,55.8
rengar,57.2,56.0,54.5
rammus,49.7,49.2,47.4
udyr,51.9,51.2,48.3
elise,53.2,53.9,50.0
shyvana,49.1,48.3,48.7
yorick,46.2,47.2,44.9
jax,50.4,52.2,48.2
zyra,53.1,0.0,52.1
belveth,52.2,53.6,48.9
karthus,54.9,52.1,55.7
trundle,50.6,51.5,45.6
gragas,54.6,58.2,53.2
teemo,52.9,51.4,50.4
drmundo,50.0,46.9,48.5
skarner,59.3,58.7,56.9
poppy,51.6,51.8,49.6
ivern,54.5,54.2,50.1
