,sona,zyra,yuumi
lux,51.5,52.0,51.3
thresh,50.8,52.9,47.0
lulu,51.1,51.2,48.2
nautilus,50.8,51.1,47.2
nami,50.0,49.8,48.8
morgana,51.9,52.5,50.8
karma,53.0,52.1,52.2
leona,51.3,51.5,47.0
yuumi,51.1,49.4,0.0
pyke,52.8,53.0,50.3
blitzcrank,51.8,52.7,50.2
seraphine,51.3,52.6,51.5
braum,49.6,50.7,45.1
senna,51.2,53.4,50.1
zyra,49.3,0.0,50.5
mel,58.1,53.7,55.8
milio,50.5,48.5,48.8
swain,50.8,53.4,53.3
xerath,53.2,49.7,52.2
soraka,50.6,51.4,50.5
brand,51.2,51.6,52.1
pantheon,51.7,51.4,49.6
rell,51.1,51.7,46.6
alistar,52.0,51.1,48.3
rakan,52.0,52.7,48.2
velkoz,51.4,50.2,50.6
tahmkench,50.9,52.0,48.8
janna,51.7,50.4,49.2
neeko,52.3,53.4,51.3
bard,51.5,51.4,50.2
poppy,53.5,50.5,48.3
maokai,50.2,50.7,48.7
sona,0.0,50.7,48.8
zilean,50.9,49.9,50.4
shaco,52.2,49.2,50.8
malphite,53.1,52.8,49.9
elise,51.6,52.4,49.6
teemo,54.3,50.5,48.1
taric,48.6,48.1,47.1
renata,53.4,53.7,52.1
