,sona,zyra,yuumi
garen,50.7,50.2,49.6
sett,50.4,49.6,48.3
darius,51.6,53.1,49.9
mordekaiser,49.8,50.3,46.8
aatrox,51.5,52.8,50.6
teemo,51.1,50.1,48.6
yone,52.8,52.2,51.2
yorick,49.6,48.7,47.2
malphite,50.6,50.7,48.0
jax,52.5,52.7,50.1
nasus,50.0,50.6,46.7
kayle,50.6,49.3,48.4
gwen,53.1,53.3,51.1
jayce,54.1,54.3,52.3
renekton,52.2,52.3,50.7
sion,50.7,50.3,50.0
volibear,51.1,52.4,48.9
chogath,51.6,52.0,48.9
urgot,48.5,48.7,47.3
drmundo,50.6,50.0,49.7
gangplank,54.7,54.2,53.7
gnar,52.9,53.1,51.3
tryndamere,52.1,51.7,49.5
irelia,50.7,51.9,49.5
ambessa,55.0,54.7,52.7
illaoi,50.4,52.8,50.5
riven,52.9,53.2,49.4
fiora,52.5,50.8,50.6
trundle,49.8,51.5,48.4
ornn,50.8,50.2,49.2
shen,52.0,52.5,50.0
yasuo,51.4,53.2,49.4
vladimir,54.0,53.4,52.0
warwick,50.7,47.7,46.9
ksante,56.0,57.3,55.0
camille,52.6,51.8,50.3
singed,49.0,50.8,48.8
pantheon,53.7,52.9,50.0
gragas,52.7,54.5,50.2
heimerdinger,50.1,50.3,48.3
quinn,53.0,52.3,49.5
rumble,54.0,54.4,53.0
kennen,51.4,52.8,50.0
vayne,52.4,52.8,49.8
tahmkench,52.6,52.0,49.9
sylas,52.0,53.8,50.6
olaf,53.5,52.9,52.4
akali,52.7,52.4,51.2
kled,50.4,51.7,49.3
wukong,53.0,51.0,49.2
